public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
BLANCHARD RD & CONCORD AVE,2023,1,0,1
BLANCHARD RD & CONCORD AVE,2024,0,0,0
BLANCHARD RD & CONCORD AVE,2025,0,0,0
BRATTLE ST & CRAIGE ST,2023,0,0,0
BRATTLE ST & CRAIGE ST,2024,0,0,0
BRATTLE ST & CRAIGE ST,2025,1,1,0
BRATTLE ST & FAYERWEATHER ST,2023,0,0,0
BRATTLE ST & FAYERWEATHER ST,2024,1,1,0
BRATTLE ST & FAYERWEATHER ST,2025,0,0,0
BRATTLE ST & HAWTHORN,2023,1,0,1
BRATTLE ST & HAWTHORN,2024,0,0,0
BRATTLE ST & HAWTHORN,2025,0,0,0
BRATTLE ST & HAWTHORN ST,2023,1,1,0
BRATTLE ST & HAWTHORN ST,2024,0,0,0
BRATTLE ST & HAWTHORN ST,2025,0,0,0
BRATTLE ST & JAMES ST,2023,0,0,0
BRATTLE ST & JAMES ST,2024,0,0,0
BRATTLE ST & JAMES ST,2025,1,1,0
BRATTLE ST & LARCH RD,2023,1,1,0
BRATTLE ST & LARCH RD,2024,0,0,0
BRATTLE ST & LARCH RD,2025,0,0,0
BRATTLE ST & SPARKS,2023,1,1,0
BRATTLE ST & SPARKS,2024,0,0,0
BRATTLE ST & SPARKS,2025,0,0,0
BREWER ST & MOUNT AUBURN ST,2023,0,0,0
BREWER ST & MOUNT AUBURN ST,2024,1,0,1
BREWER ST & MOUNT AUBURN ST,2025,0,0,0
BROAD CANAL PKWY & MAIN ST,2023,1,1,0
BROAD CANAL PKWY & MAIN ST,2024,0,0,0
BROAD CANAL PKWY & MAIN ST,2025,0,0,0
BROAD CANAL WAY & THIRD ST,2023,0,0,0
BROAD CANAL WAY & THIRD ST,2024,0,0,0
BROAD CANAL WAY & THIRD ST,2025,1,0,1
BROADWAY & CLARK ST,2023,0,0,0
BROADWAY & CLARK ST,2024,1,0,1
BROADWAY & CLARK ST,2025,0,0,0
BROADWAY & COLUMBIA ST,2023,1,1,0
BROADWAY & COLUMBIA ST,2024,0,0,0
BROADWAY & COLUMBIA ST,2025,0,0,0
BROADWAY & FAYETTE ST,2023,0,0,0
